Pas_ID;Pas_Result;Pas_Description;Pas_Type;Pas_Meat;Pas_Sauce;Pas_Topping
PAS247;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;Garlic
PAS248;Fettuccine with Creamy Tomato;As if normal tomato sauce isn't flavorful enough, its now creamy too!;Fettuccine;None;Tomato;None
PAS249;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Herbs
PAS250;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Pepper
PAS251;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;Garlic
PAS252;Fettuccine Pesto Pasta;Pesto is delicious with fettuccine too!;Fettuccine;None;Pesto;None
PAS253;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Herbs
PAS254;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Pepper
PAS255;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;Garlic
PAS256;Aglio e Olio;You can't imagine how many garlics are in a Aglio e Olio.;Fettuccine;None;None;None
