Ste_ID;Ste_Result;Ste_Description;Ste_Rarity;Ste_Wine;Ste_Sauce;Ste_Hated
STE239;Cubed Steak;If you are under 12, sure.;Well Done;Merlot;Red Wine;Potato
STE240;Cubed Steak;If you are under 12, sure.;Well Done;Merlot;Red Wine;None
STE241;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Peppercorn;Fries
STE242;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Peppercorn;Vegetable
STE243;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Peppercorn;Potato
STE244;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Peppercorn;None
STE245;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Mushroom;Fries
STE246;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Mushroom;Vegetable
STE247;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Mushroom;Potato
STE248;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Mushroom;None
STE249;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Soy Butter;Fries
STE250;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Soy Butter;Vegetable
STE251;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Soy Butter;Potato
STE252;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Soy Butter;None
STE253;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Red Wine;Fries
STE254;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Red Wine;Vegetable
STE255;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Red Wine;Potato
STE256;Well-done Strip Loin;Congratulations! How far along are you?;Well Done;None;Red Wine;None
